,profile_id,starts_at,ends_at,title,description,company,location
64,16,2014-08-01,2020-03-31,Head of Events,"aIRC - All India Research Championship is an initiative of TechieNest started in 2014 for organising national-international level competition among engineers based on their research on various problems in various theme based technologies. Every year it used to be organised in association with prestigious institutions like IIT's and NIT's. Various events to aware students on latest technologies have organised in many engineering colleges, universities and over more than 1 Lakh Students participated in this and winners of the event have facilitated with lots of benefits including research internships.This event is a great success for us to actually interact with students and providing best possible guidance for their learning.",aIRC,India
65,16,2014-08-01,2017-06-30,Product Developer,"This is a online shopping portal for purchasing technical educational hardwares such as Micro-controller Boards, Sensors, Motors, Communication Modules, Various Interfacing Modules, DIY Kits on Robotics, Drones, Embedded Systems.It made a great success for us for connecting with our learners and providing them one stop solution for hardware learning environment and setting up labs in engineering colleges.The Role was to develop right products for our learners and provide proper services to them.www.techieshop.in",TechieShop,"Jaipur, Rajasthan, India"
66,16,2013-07-01,2014-07-31,Embedded Systems Developer and Trainer,"Worked on Embedded Systems, Robotics, Matlab Simulations, Various Projects Development. Guided and Trained many engineering students including premier institutions of India and many other countries.Consulted Clients to build Embedded Systems Products.> Fuel sensing for generators> Drone Development> Home Automation Systems> Smart Barriers for Security Reasons at Defence Area> Wireless Alarm Alert for Soldiers for Indian Defence> Auto Path Sensing and Maze Solving RobotDelivered various technical workshops on latest technologies likeSixth Sense TechnologyGesture TechnologyVOIP - Voice Over Internet ProtocolSpeech RecognitionDigital Image ProcessingRoboticsVLSI - Verilog and VHDL Programming (Xilinx Circuit Simulations)",TechieShop,India
67,16,2012-05-01,2013-06-30,Embedded Engineer,"> PCB Designing> Embedded Programming> Products Development> Research on New Hardware Technologies> Simulation Platforms> MATLAB Programming> Robotics - Various Educational Robots> Working with various Micro-controllers and sensors> GSM, GPS, FingerPrint, RFID, DTMF, Display, Motors, RF Communication, Communication Protocols, TV Remote.> Programming Languages - Embedded C,C++,MATLAB, Visual Basic,C#, Java, Python, PhP, JavaScript.> Students Training> Delivery of Workshops> Organising Events",i3indya Technologies,"Delhi, India"
68,16,2012-01-01,2012-04-30,Research Intern,Matlab ProgrammingImage ProcessingRoboticsPCB Designing with Pad2PadTouch Screen TechnologyLogic BuildingBascom Programming for Embedded SystemsSpeech ProcessingProjects Development with Team LeadersAs an Assistant in Technical Events with Team LeadersAnchor and support in various technical workshops,NextSapiens,"Noida, Uttar Pradesh, India"
69,17,2021-05-01,,Full Stack Developer,,Axonius,
70,17,2020-11-01,2021-05-31,Full Stack Team Leader,Full stack team leader,Israeli Military Intelligence,
71,17,2017-06-01,2020-11-30,Full Stack Developer,Full Stack Developer,Israeli Military Intelligence,
72,17,2017-02-01,2017-06-30,Private Teacher,Private teacher for high school computer science students.,Self-employed,
73,18,2021-02-01,,Co-Founder,,TechEdu,
74,18,2021-02-01,2021-06-30,Co-Founder and CEO,"TechEdu is startup that helps student in acquiring practical skills from experienced mentors. At techedu we convert academic theory to practical fun.We also help student in getting various internship Opportunities for Engineering students , Business management students as well as for MCA and commerce students. We are doing a role of  talent acquisition partner for various corporate companies and providing them the best talent in form of interns in form of skilled fresher candidate.",TechEdu,India
75,18,2020-07-01,,Team Member : Team Technospark (BAJA 2020),,SAEINDIA,India
76,18,2021-06-01,,Content Creator,,YouTube,
77,18,2021-06-01,2021-07-31,Data Science and Business Analytics,,The Sparks Foundation,Work from home
78,18,2021-05-01,2021-06-30,Human Resources Intern,,RC Diamonds,
